trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 1.0}",20,0,-28.971052160256026,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9801986733067553}",25,0,-90.78824679483158,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5399999999999999, 'e': 0.9607894391523232}",25,0,-115.26588827589924,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5199999999999999, 'e': 0.9417645335842487}",20,0,-149.55281816867412,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9231163463866358}",20,3,-105.4322178961373,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 2}",1
6,False,"{'a': 0.47999999999999987, 'e': 0.9048374180359595}",25,0,-133.76130310871974,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8869204367171575}",30,0,-79.80572379311448,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.43999999999999984, 'e': 0.8693582353988059}",25,0,-112.78306122618014,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.4199999999999998, 'e': 0.8521437889662113}",20,0,-152.2892353502984,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.3999999999999998, 'e': 0.835270211411272}",25,0,-136.23137131774894,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.3799999999999998, 'e': 0.8187307530779818}",30,0,-149.37723286405497,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
12,False,"{'a': 0.35999999999999976, 'e': 0.8025187979624785}",30,0,-64.0248784212085,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.33999999999999975, 'e': 0.7866278610665535}",20,0,-108.71846911012318,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.31999999999999973, 'e': 0.7710515858035663}",25,0,-78.95633187616926,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7557837414557255}",20,0,-90.2514274911819,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.2799999999999997, 'e': 0.7408182206817179}",20,0,-75.51817675589845,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.2599999999999997, 'e': 0.7261490370736909}",20,0,-105.57762693924586,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.7117703227626097}",35,13,-40.7951921922854,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 0}",1
19,False,"{'a': 0.2199999999999997, 'e': 0.697676326071031}",20,0,-76.04938571217157,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.1999999999999997, 'e': 0.6838614092123558}",25,0,-67.70022218487784,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.1999999999999997, 'e': 0.6703200460356393}",20,0,-83.12073611792812,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.1999999999999997, 'e': 0.6570468198150567}",20,0,-25.451100658363654,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.1999999999999997, 'e': 0.6440364210831414}",25,0,-32.665555191379006,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.1999999999999997, 'e': 0.631283645506926}",30,0,-114.25655513485543,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.1999999999999997, 'e': 0.6187833918061408}",25,0,11.06908264019295,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.1999999999999997, 'e': 0.6065306597126334}",20,0,-81.09464395643717,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
27,False,"{'a': 0.1999999999999997, 'e': 0.5945205479701944}",20,0,-50.03848084848576,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.1999999999999997, 'e': 0.5827482523739896}",20,0,-140.46588821667982,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
29,False,"{'a': 0.1999999999999997, 'e': 0.5712090638488149}",25,13,-81.78358496494074,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
30,False,"{'a': 0.1999999999999997, 'e': 0.559898366565402}",20,0,-21.41589121841812,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.1999999999999997, 'e': 0.5488116360940265}",30,21,-37.96241793364087,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.1999999999999997, 'e': 0.5379444375946745}",30,6,-12.52293336737656,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.1999999999999997, 'e': 0.5272924240430485}",20,0,-57.47780339655418,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.1999999999999997, 'e': 0.5168513344916992}",25,12,-48.377501326244825,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
35,False,"{'a': 0.1999999999999997, 'e': 0.5066169923655895}",20,0,-66.30011614874535,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.1999999999999997, 'e': 0.49658530379140947}",20,0,-96.18383615215711,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.1999999999999997, 'e': 0.4867522559599717}",30,2,8.603681647679824,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.1999999999999997, 'e': 0.4771139155210344}",20,7,-16.272895010312226,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.1999999999999997, 'e': 0.46766642700990924}",20,1,-66.1809140633874,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
40,False,"{'a': 0.1999999999999997, 'e': 0.4584060113052235}",25,0,12.887408969367439,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.1999999999999997, 'e': 0.44932896411722156}",25,17,-40.58617548235366,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.1999999999999997, 'e': 0.44043165450599925}",20,2,-52.423275026746396,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.1999999999999997, 'e': 0.43171052342907973}",20,10,-4.679454448611862,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.1999999999999997, 'e': 0.4231620823177488}",20,0,9.698571106889336,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.1999999999999997, 'e': 0.4147829116815814}",30,23,5.050754404341234,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1999999999999997, 'e': 0.4065696597405991}",25,13,-2.0741115572126017,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.1999999999999997, 'e': 0.39851904108451414}",20,4,-4.0782091030059,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.1999999999999997, 'e': 0.3906278353585211}",25,13,-13.25899139334719,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.1999999999999997, 'e': 0.38289288597511206}",20,0,-8.533658272151076,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.1999999999999997, 'e': 0.37531109885139957}",20,12,2.6430467074520525,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.1999999999999997, 'e': 0.36787944117144233}",25,0,-36.96667915875417,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.1999999999999997, 'e': 0.3605949401730783}",20,13,10.89965354570951,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.1999999999999997, 'e': 0.35345468195878016}",20,6,-14.766661629106597,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.1999999999999997, 'e': 0.3464558103300574}",25,17,14.47044105247161,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.1999999999999997, 'e': 0.3395955256449391}",20,0,-47.07104632592209,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.1999999999999997, 'e': 0.33287108369807955}",25,3,-27.82794376979058,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.1999999999999997, 'e': 0.32627979462303947}",30,17,18.24486875946792,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.1999999999999997, 'e': 0.31981902181630384}",25,18,11.840263750567443,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1999999999999997, 'e': 0.3134861808826053}",25,13,-1.113245097913353,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.1999999999999997, 'e': 0.30727873860113125}",20,0,-14.417460773425468,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.1999999999999997, 'e': 0.30119421191220214}",20,14,-0.29078603267659275,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.1999999999999997, 'e': 0.2952301669240142}",25,0,-53.14722603433108,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.1999999999999997, 'e': 0.2893842179390506}",20,7,0.06670342612086522,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.1999999999999997, 'e': 0.2836540264997704}",20,12,0.0672056102219265,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.1999999999999997, 'e': 0.27803730045319414}",20,0,-14.086938914185247,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.1999999999999997, 'e': 0.2725317930340126}",20,0,-85.92221362939983,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.1999999999999997, 'e': 0.26713530196585034}",20,0,-12.197972210919563,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.1999999999999997, 'e': 0.261845668580326}",20,10,-5.978629603143354,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.1999999999999997, 'e': 0.2566607769535559}",20,0,24.43144845721509,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.1999999999999997, 'e': 0.25157855305975646}",20,0,-20.349635395417017,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.1999999999999997, 'e': 0.24659696394160643}",20,0,-1.0372653859867023,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
